recordIdentifier,subjectID
oai:dash.harvard.edu:1/2624455,moving average processes
oai:dash.harvard.edu:1/2624455,long-range dependence
oai:dash.harvard.edu:1/2624455,nonlinear statistics
oai:dash.harvard.edu:1/2660660,health insurance coverage
oai:dash.harvard.edu:1/2660660,insurance premiums
oai:dash.harvard.edu:1/2660660,health care costs
oai:dash.harvard.edu:1/2660660,uninsured
oai:dash.harvard.edu:1/2660660,health care spending growth
oai:dash.harvard.edu:1/2624674,atomic force microscopy
oai:dash.harvard.edu:1/2624674,catalysts
oai:dash.harvard.edu:1/2624674,chemical vapour deposition
oai:dash.harvard.edu:1/2624674,carbon nanotubes
oai:dash.harvard.edu:1/2757766,grassland
oai:dash.harvard.edu:1/2757766,eddy covariance
oai:dash.harvard.edu:1/2757766,forest
oai:dash.harvard.edu:1/2757766,crops
oai:dash.harvard.edu:1/2757766,net ecosystem exchange
oai:dash.harvard.edu:1/2757766,carbon dioxide exchange
oai:dash.harvard.edu:1/2757766,gross primary production
oai:dash.harvard.edu:1/2757766,model inversion
oai:dash.harvard.edu:1/2757766,wetland
oai:dash.harvard.edu:1/2757766,up-scaling
oai:dash.harvard.edu:1/2757769,single molecule spectroscopy
oai:dash.harvard.edu:1/2757769,carbon nanotube
oai:dash.harvard.edu:1/2757769,atomic force microscopy
oai:dash.harvard.edu:1/2757769,chemical force microscopy
oai:dash.harvard.edu:1/2757769,structural biology
oai:dash.harvard.edu:1/2710489,atomic force microscopy
oai:dash.harvard.edu:1/2710489,haplotype
oai:dash.harvard.edu:1/2710489,single-nucleotide polymorphism
oai:dash.harvard.edu:1/2710489,carbon nanotube
oai:dash.harvard.edu:1/2710489,DNA sequencing
oai:dash.harvard.edu:1/2764259,random error
oai:dash.harvard.edu:1/2764259,flux
oai:dash.harvard.edu:1/2764259,uncertainty
oai:dash.harvard.edu:1/2764259,Ameriflux
oai:dash.harvard.edu:1/2764259,eddy covariance
oai:dash.harvard.edu:1/2764259,data assimilation
oai:dash.harvard.edu:1/2764259,measurement error
oai:dash.harvard.edu:1/2764259,carbon
oai:dash.harvard.edu:1/2757772,macromolecule
oai:dash.harvard.edu:1/2757772,carbon nanotube
oai:dash.harvard.edu:1/2757772,atomic force microscopy
oai:dash.harvard.edu:1/2757772,chemical imaging
oai:dash.harvard.edu:1/2757772,structural biology
oai:dash.harvard.edu:1/2609645,music
oai:dash.harvard.edu:1/2609645,Giacomo Meyerbeer
oai:dash.harvard.edu:1/2609645,19th-century opera
oai:dash.harvard.edu:1/2609645,music of the Romantic period
oai:dash.harvard.edu:1/2609645,ballet
oai:dash.harvard.edu:1/2623551,Reader-response criticism -- Bibliography
oai:dash.harvard.edu:1/2623551,Books and reading -- Historiography
oai:dash.harvard.edu:1/2623551,Books and reading -- History -- Bibliography
oai:dash.harvard.edu:1/2624454,Grassmannian
oai:dash.harvard.edu:1/2624454,Q-analogs
oai:dash.harvard.edu:1/2624454,Eulerian numbers
oai:dash.harvard.edu:1/2624454,total positivity
oai:dash.harvard.edu:1/2609644,"Wagner, Richard, 1813-1883 -- Characters -- Senta."
oai:dash.harvard.edu:1/2609644,Senta (Fictitious character : Wagner)
oai:dash.harvard.edu:1/2609644,"Wagner, Richard, 1813-1883. Fliegende Holländer [music]"
oai:dash.harvard.edu:1/2609643,Music -- 20th century -- History and criticism
oai:dash.harvard.edu:1/2609643,"Weill, Kurt, 1900-1950 -- Criticism and interpretation"
oai:dash.harvard.edu:1/2609643,Modernism (Aesthetics)
oai:dash.harvard.edu:1/2609646,Symphony
oai:dash.harvard.edu:1/2609646,operas -- 19th Century
oai:dash.harvard.edu:1/2609646,"Berlioz, Hector, 1803-1869"
oai:dash.harvard.edu:1/2624670,glacial
oai:dash.harvard.edu:1/2624670,icequake
oai:dash.harvard.edu:1/2624670,earthquake
oai:dash.harvard.edu:1/2624670,calving
oai:dash.harvard.edu:1/2640586,riskiness
oai:dash.harvard.edu:1/2640586,value at risk
oai:dash.harvard.edu:1/2640586,local and moderate deviations
oai:dash.harvard.edu:1/2640586,risk bounds
oai:dash.harvard.edu:1/2640586,heavy-tailed risks
oai:dash.harvard.edu:1/2640586,power laws
oai:dash.harvard.edu:1/2640586,pareto-type distributions
oai:dash.harvard.edu:1/2640586,domain of attraction of stable distributions
oai:dash.harvard.edu:1/2640586,nonlinear transformations
oai:dash.harvard.edu:1/2640586,portfolios
oai:dash.harvard.edu:1/2640586,diversification
oai:dash.harvard.edu:1/2623763,phenotypic trait
oai:dash.harvard.edu:1/2623763,heritability
oai:dash.harvard.edu:1/2623763,time series
oai:dash.harvard.edu:1/2623763,multifactorial inheritance
oai:dash.harvard.edu:1/2623763,multisex inheritance model
oai:dash.harvard.edu:1/2643854,shear crack
oai:dash.harvard.edu:1/2643854,dilatancy
oai:dash.harvard.edu:1/2643854,pore pressure
oai:dash.harvard.edu:1/2643854,poroelastic-plastic
oai:dash.harvard.edu:1/2643854,strike-slip faults
oai:dash.harvard.edu:1/2643122,fault mechanics
oai:dash.harvard.edu:1/2643122,rupture dynamics
oai:dash.harvard.edu:1/2643122,elastic plastic
oai:dash.harvard.edu:1/2643122,localization of deformation
oai:dash.harvard.edu:1/2645465,pore pressure
oai:dash.harvard.edu:1/2645465,poroelastic
oai:dash.harvard.edu:1/2645465,bimaterial
oai:dash.harvard.edu:1/2623550,aseismic transient
oai:dash.harvard.edu:1/2623550,Guerrero subduction zone
oai:dash.harvard.edu:1/2623550,seismicity variation
oai:dash.harvard.edu:1/2643852,fault branches
oai:dash.harvard.edu:1/2643852,rupture dynamics
oai:dash.harvard.edu:1/2643852,seismology
oai:dash.harvard.edu:1/2623728,elasticity
oai:dash.harvard.edu:1/2623728,market demand
oai:dash.harvard.edu:1/2623728,income inequality
oai:dash.harvard.edu:1/2609649,post-earnings
oai:dash.harvard.edu:1/2609649,trading
oai:dash.harvard.edu:1/2609649,stock returns
oai:dash.harvard.edu:1/2609649,announcement drift
oai:dash.harvard.edu:1/2609649,instiutions
oai:dash.harvard.edu:1/2617031,diversification
oai:dash.harvard.edu:1/2617031,asset allocation
oai:dash.harvard.edu:1/2617031,disposition effect
oai:dash.harvard.edu:1/2617031,portfolio rebalancing
oai:dash.harvard.edu:1/2617031,participation
oai:dash.harvard.edu:1/2624673,computational biology
oai:dash.harvard.edu:1/2624673,molecular biology
oai:dash.harvard.edu:1/2640572,neuroscience
oai:dash.harvard.edu:1/2640571,neuroscience
oai:dash.harvard.edu:1/2770034,computational biology
oai:dash.harvard.edu:1/2770034,molecular biology
oai:dash.harvard.edu:1/2770034,evolutionary biology
oai:dash.harvard.edu:1/2633259,protein chemistry
oai:dash.harvard.edu:1/2633259,biochemistry: theory and simulation
oai:dash.harvard.edu:1/2633259,macromolecular assemblies and machines
oai:dash.harvard.edu:1/2633259,membrane proteins and energy transduction
oai:dash.harvard.edu:1/2633259,biochemistry
oai:dash.harvard.edu:1/2958488,plant growth and development
oai:dash.harvard.edu:1/2958488,plant genetics and gene expression
oai:dash.harvard.edu:1/2958488,plant-environment interactions
oai:dash.harvard.edu:1/2958488,plant-biotic interactions
oai:dash.harvard.edu:1/2958488,plant biology
oai:dash.harvard.edu:1/2640570,evolutionary biology
oai:dash.harvard.edu:1/2640569,cell biology
oai:dash.harvard.edu:1/2640569,computational biology
oai:dash.harvard.edu:1/2640569,genetics and genomics
oai:dash.harvard.edu:1/2640569,mathematics
oai:dash.harvard.edu:1/2640568,cell biology
oai:dash.harvard.edu:1/2640568,cell adhesion
oai:dash.harvard.edu:1/2640568,cytoskeleton
oai:dash.harvard.edu:1/2640568,cell growth and division
oai:dash.harvard.edu:1/2640568,cellular death and stress responses
oai:dash.harvard.edu:1/2640568,bioengineering
oai:dash.harvard.edu:1/2640568,chemical biology of the cell
oai:dash.harvard.edu:1/2640568,biotechnology
oai:dash.harvard.edu:1/2640568,chemical biology
oai:dash.harvard.edu:1/2640580,experimental psychology
oai:dash.harvard.edu:1/2640580,psychology
oai:dash.harvard.edu:1/2640580,cognitive neuroscience
oai:dash.harvard.edu:1/2640580,neuroscience
oai:dash.harvard.edu:1/2640567,evolutionary biology
oai:dash.harvard.edu:1/2640565,sensory systems
oai:dash.harvard.edu:1/2640565,neuroscience
oai:dash.harvard.edu:1/2640564,neuroscience
oai:dash.harvard.edu:1/2710572,chemical biology
oai:dash.harvard.edu:1/2710572,infectious diseases
oai:dash.harvard.edu:1/2710572,cell biology
oai:dash.harvard.edu:1/2710572,virology
oai:dash.harvard.edu:1/2710572,microbiology
oai:dash.harvard.edu:1/2757770,neuroscience
oai:dash.harvard.edu:1/2640561,neuroscience
oai:dash.harvard.edu:1/2640561,physics
oai:dash.harvard.edu:1/2640561,biophysics
oai:dash.harvard.edu:1/2640561,computational biology
oai:dash.harvard.edu:1/2640563,molecular biology
oai:dash.harvard.edu:1/2640563,developmental biology
oai:dash.harvard.edu:1/2640563,cell biology
oai:dash.harvard.edu:1/2640563,diabetes and endocrinology
oai:dash.harvard.edu:1/2640563,physiology
oai:dash.harvard.edu:1/2625515,evolutionary biology
oai:dash.harvard.edu:1/2625515,computational biology
oai:dash.harvard.edu:1/2668813,rate and state friction
oai:dash.harvard.edu:1/2668813,subduction zone
oai:dash.harvard.edu:1/2668813,aseismic transients
oai:dash.harvard.edu:1/2668769,off-fault damage
oai:dash.harvard.edu:1/2668769,dynamics
oai:dash.harvard.edu:1/2668769,supershear
oai:dash.harvard.edu:1/2668811,slip
oai:dash.harvard.edu:1/2668811,pore pressure
oai:dash.harvard.edu:1/2668811,bimaterial
oai:dash.harvard.edu:1/2668811,permeability
oai:dash.harvard.edu:1/2668811,effective stress
oai:dash.harvard.edu:1/2634389,surface
oai:dash.harvard.edu:1/2634389,geometric algorithms
oai:dash.harvard.edu:1/2634389,approximation
oai:dash.harvard.edu:1/2634389,remeshing
oai:dash.harvard.edu:1/2634387,reverse engineering
oai:dash.harvard.edu:1/2634387,parameterization
oai:dash.harvard.edu:1/2634387,mesh generation
oai:dash.harvard.edu:1/2634387,surface reconstruction
oai:dash.harvard.edu:1/2634387,torus
oai:dash.harvard.edu:1/2634387,point cloud
oai:dash.harvard.edu:1/2641658,computational geometry
oai:dash.harvard.edu:1/2641658,computer graphics
oai:dash.harvard.edu:1/2641658,object modeling
oai:dash.harvard.edu:1/2641680,computer graphics
oai:dash.harvard.edu:1/2641093,computational geometry and object modeling
oai:dash.harvard.edu:1/2641093,geometric algorithms
oai:dash.harvard.edu:1/2640575,image-based rendering
oai:dash.harvard.edu:1/2640575,light field
oai:dash.harvard.edu:1/2640575,aliasing
oai:dash.harvard.edu:1/2640575,sampling
oai:dash.harvard.edu:1/2640575,lumigraph
oai:dash.harvard.edu:1/2640575,reconstruction
oai:dash.harvard.edu:1/2640575,multipass rendering
oai:dash.harvard.edu:1/2640576,geometric algorithms
oai:dash.harvard.edu:1/2640576,computer graphics
oai:dash.harvard.edu:1/2640577,image processing
oai:dash.harvard.edu:1/2640577,perception
oai:dash.harvard.edu:1/2640577,computer graphics
oai:dash.harvard.edu:1/2640577,color space
oai:dash.harvard.edu:1/2640598,shortest path
oai:dash.harvard.edu:1/2640598,geodesic distance
oai:dash.harvard.edu:1/2641681,surface parameterization
oai:dash.harvard.edu:1/2641681,remeshing
oai:dash.harvard.edu:1/2634172,numerical analysis
oai:dash.harvard.edu:1/2634172,hierarchical radiosity
oai:dash.harvard.edu:1/2634172,computer graphics
oai:dash.harvard.edu:1/2634172,wavelets
oai:dash.harvard.edu:1/2634172,global illumination
oai:dash.harvard.edu:1/2641686,mesh simplification
oai:dash.harvard.edu:1/2641686,texture stretch
oai:dash.harvard.edu:1/2641686,surface parameterization
oai:dash.harvard.edu:1/2641686,surface flattening
oai:dash.harvard.edu:1/2641679,image-based rendering
oai:dash.harvard.edu:1/2634289,image-based rendering
oai:dash.harvard.edu:1/2634289,computer vision
oai:dash.harvard.edu:1/2634289,miscellaneous rendering algorithms
oai:dash.harvard.edu:1/2634289,constructive solid geometry
oai:dash.harvard.edu:1/2640599,computer graphics
oai:dash.harvard.edu:1/2634384,antialiasing
oai:dash.harvard.edu:1/2634384,supersampling
oai:dash.harvard.edu:1/2634384,triangle mesh rendering
oai:dash.harvard.edu:1/2634384,antialiasing line rendering
oai:dash.harvard.edu:1/2634385,light field
oai:dash.harvard.edu:1/2634385,scam
oai:dash.harvard.edu:1/2634385,correspondence
oai:dash.harvard.edu:1/2624682,ABC model
oai:dash.harvard.edu:1/2624682,MADS-box genes
oai:dash.harvard.edu:1/2624682,Cycloidea
oai:dash.harvard.edu:1/2624682,gene duplication
oai:dash.harvard.edu:1/2624682,floral evolution
oai:dash.harvard.edu:1/2624675,plant developmental evolution
oai:dash.harvard.edu:1/2624675,YABBY gene
oai:dash.harvard.edu:1/2624675,orthology
oai:dash.harvard.edu:1/2624675,MADS-box genes
oai:dash.harvard.edu:1/2624675,homology
oai:dash.harvard.edu:1/2641800,plant developmental evolution
oai:dash.harvard.edu:1/2641800,homology
oai:dash.harvard.edu:1/2641800,YABBY genes
oai:dash.harvard.edu:1/2641800,MADS-box genes
oai:dash.harvard.edu:1/2641800,orthology
oai:dash.harvard.edu:1/2624678,Brassiceae
oai:dash.harvard.edu:1/2624678,silique
oai:dash.harvard.edu:1/2624678,fruit morphology
oai:dash.harvard.edu:1/2624678,heteroarthrocarpy
oai:dash.harvard.edu:1/2624678,indehiscence
oai:dash.harvard.edu:1/2624678,dehiscence
oai:dash.harvard.edu:1/2624676,MADS-box genes
oai:dash.harvard.edu:1/2624676,gene duplication
oai:dash.harvard.edu:1/2624676,floral evolution
oai:dash.harvard.edu:1/2624676,PI
oai:dash.harvard.edu:1/2624676,AP3
oai:dash.harvard.edu:1/2625468,"Publishers and publishing -- India -- History -- British occupation, 1765-1947"
oai:dash.harvard.edu:1/2625468,"Government and the press -- India -- History -- British occupation, 1765-1947"
oai:dash.harvard.edu:1/2625468,"Trials (Sedition) -- India -- History -- British occupation, 1765-1947"
oai:dash.harvard.edu:1/2625468,"Book registration, National -- India -- History -- British occupation, 1765-1947"
oai:dash.harvard.edu:1/2634168,quasars: individual(Q0957+561)
oai:dash.harvard.edu:1/2634168,gravitational lensing
oai:dash.harvard.edu:1/2634168,instrumentation: interferometers
oai:dash.harvard.edu:1/2634395,American literature
oai:dash.harvard.edu:1/2643654,books
oai:dash.harvard.edu:1/2643654,criticism
oai:dash.harvard.edu:1/2643654,"Melville, Herman (1819-1891)"
oai:dash.harvard.edu:1/2635305,pilgrims & pilgrimages
oai:dash.harvard.edu:1/2635305,authors
oai:dash.harvard.edu:1/2635305,"Thoreau, Henry David, 1817-1862"
oai:dash.harvard.edu:1/2643011,cohesive surfaces
oai:dash.harvard.edu:1/2643011,dynamic fracture
oai:dash.harvard.edu:1/2643117,fault dynamics
oai:dash.harvard.edu:1/2643117,elastodynamics
oai:dash.harvard.edu:1/2643117,rupture propagation
oai:dash.harvard.edu:1/2643118,epistemology
oai:dash.harvard.edu:1/2643118,Timothy Williamson
oai:dash.harvard.edu:1/2643118,"""luminosity"""
oai:dash.harvard.edu:1/2640590,superrotation
oai:dash.harvard.edu:1/2640590,equatorial SST
oai:dash.harvard.edu:1/2640590,Pliocene
oai:dash.harvard.edu:1/2643885,music of the 20th Century
oai:dash.harvard.edu:1/2643031,algorithms
oai:dash.harvard.edu:1/2643031,SQ learning
oai:dash.harvard.edu:1/2643031,PAC learning
oai:dash.harvard.edu:1/2643031,evolvable
oai:dash.harvard.edu:1/2643119,diversity (student)
oai:dash.harvard.edu:1/2643119,affirmative action
oai:dash.harvard.edu:1/2643119,college admission
oai:dash.harvard.edu:1/2643119,civil rights legislation
oai:dash.harvard.edu:1/2799134,immorality
oai:dash.harvard.edu:1/2799134,bathhouses
oai:dash.harvard.edu:1/2799134,sex
oai:dash.harvard.edu:1/2799134,homosexuality
oai:dash.harvard.edu:1/2799134,anonymous sex
oai:dash.harvard.edu:1/2643650,"treatment of Bart, Lily (character)"
oai:dash.harvard.edu:1/2643650,"Thoreau, Henry David (1817-1862): Walden (1854)"
oai:dash.harvard.edu:1/2643650,conscience
oai:dash.harvard.edu:1/2643650,social mobility
oai:dash.harvard.edu:1/2641804,literature and science
oai:dash.harvard.edu:1/2643013,morphology
oai:dash.harvard.edu:1/2643013,compound
oai:dash.harvard.edu:1/2643013,inflection
oai:dash.harvard.edu:1/2643013,phonology
oai:dash.harvard.edu:1/2668694,tectonic loading process
oai:dash.harvard.edu:1/2668694,state dependent friction
oai:dash.harvard.edu:1/2668694,rate dependent friction
oai:dash.harvard.edu:1/2645466,evolution
oai:dash.harvard.edu:1/2645466,habitat use
oai:dash.harvard.edu:1/2645466,ecological causes
oai:dash.harvard.edu:1/2645466,size
oai:dash.harvard.edu:1/2645466,features
oai:dash.harvard.edu:1/2645466,diversification
oai:dash.harvard.edu:1/2664289,music of the 20th century
oai:dash.harvard.edu:1/2664289,20th century opera
oai:dash.harvard.edu:1/2664289,popular music
oai:dash.harvard.edu:1/2664289,musical theater
oai:dash.harvard.edu:1/2689193,hydridization
oai:dash.harvard.edu:1/2689193,ecology
oai:dash.harvard.edu:1/2689193,population
oai:dash.harvard.edu:1/2689193,conservation
oai:dash.harvard.edu:1/2689193,sensory
oai:dash.harvard.edu:1/2689193,cichlid fish
oai:dash.harvard.edu:1/2689193,model
oai:dash.harvard.edu:1/2689193,diversification
oai:dash.harvard.edu:1/2689193,drive
oai:dash.harvard.edu:1/2689193,evolutionary radiation
oai:dash.harvard.edu:1/2689193,sympatric speciation
oai:dash.harvard.edu:1/2666401,translocation
oai:dash.harvard.edu:1/2666401,differentiation
oai:dash.harvard.edu:1/2666401,tests
oai:dash.harvard.edu:1/2666401,amphibians
oai:dash.harvard.edu:1/2666401,distance
oai:dash.harvard.edu:1/2666401,multifocus genotype data
oai:dash.harvard.edu:1/2666401,genetic variation
oai:dash.harvard.edu:1/2666401,inornata
oai:dash.harvard.edu:1/2666401,Uma
oai:dash.harvard.edu:1/2666401,fringe-toed lizards
oai:dash.harvard.edu:1/2666401,sand
oai:dash.harvard.edu:1/2666401,population structure
oai:dash.harvard.edu:1/2666401,linkage disequilibrium
oai:dash.harvard.edu:1/2666401,allele frequency data
oai:dash.harvard.edu:1/2666401,microsatellites
oai:dash.harvard.edu:1/2666401,gene flow
oai:dash.harvard.edu:1/2666730,desert lizards
oai:dash.harvard.edu:1/2666730,island lizards
oai:dash.harvard.edu:1/2666730,morphology
oai:dash.harvard.edu:1/2666730,mainland
oai:dash.harvard.edu:1/2666730,ecology
oai:dash.harvard.edu:1/2666730,foraging mode
oai:dash.harvard.edu:1/2666730,birds
oai:dash.harvard.edu:1/2666730,movement rate
oai:dash.harvard.edu:1/2666730,comparative method
oai:dash.harvard.edu:1/2666730,predation
oai:dash.harvard.edu:1/2666730,search tacticts
oai:dash.harvard.edu:1/2666730,behavioral syndromes
oai:dash.harvard.edu:1/2666730,sit-and-wait
oai:dash.harvard.edu:1/2666730,habitat use
oai:dash.harvard.edu:1/2666730,Anolis lizard
oai:dash.harvard.edu:1/2666730,ecomorphology
oai:dash.harvard.edu:1/2666400,Anolis
oai:dash.harvard.edu:1/2666400,Cuba
oai:dash.harvard.edu:1/2666400,anole
oai:dash.harvard.edu:1/2666400,niche evolution
oai:dash.harvard.edu:1/2666400,fundamental niche
oai:dash.harvard.edu:1/2666400,ecological niche modeling
oai:dash.harvard.edu:1/2666400,niche conservatism
oai:dash.harvard.edu:1/2666400,phylogenetics
oai:dash.harvard.edu:1/2643853,mtDNA
oai:dash.harvard.edu:1/2643853,biological invasion
oai:dash.harvard.edu:1/2643853,admixture
oai:dash.harvard.edu:1/2643853,morphological evolution
oai:dash.harvard.edu:1/2643853,random genetic drift
oai:dash.harvard.edu:1/2643853,multiple source populations
oai:dash.harvard.edu:1/2656535,multiple native-range sources
oai:dash.harvard.edu:1/2656535,microsatellite
oai:dash.harvard.edu:1/2656535,introduced species
oai:dash.harvard.edu:1/2656535,mitochondrial DNA
oai:dash.harvard.edu:1/2664305,adaptive radiation
oai:dash.harvard.edu:1/2664305,Anolis
oai:dash.harvard.edu:1/2664305,historical contingency
oai:dash.harvard.edu:1/2664305,diversification
oai:dash.harvard.edu:1/2664305,convergent evolution
oai:dash.harvard.edu:1/2664305,ecomorphology
oai:dash.harvard.edu:1/2664305,natural selection
oai:dash.harvard.edu:1/2664305,morphometrics
oai:dash.harvard.edu:1/2643861,adaptive radiation
oai:dash.harvard.edu:1/2643861,evolution
oai:dash.harvard.edu:1/2643861,lizard
oai:dash.harvard.edu:1/2643861,community ecology
oai:dash.harvard.edu:1/2643861,Anolis
oai:dash.harvard.edu:1/2643652,language production
oai:dash.harvard.edu:1/2643652,speech production
oai:dash.harvard.edu:1/2643652,morphology
oai:dash.harvard.edu:1/2643652,morphosyntax
oai:dash.harvard.edu:1/2643652,grammar
oai:dash.harvard.edu:1/2643652,inflection
oai:dash.harvard.edu:1/2643652,syntax
oai:dash.harvard.edu:1/2643652,insula
oai:dash.harvard.edu:1/2662304,phylogenetic niche conservatism
oai:dash.harvard.edu:1/2662304,phylogenetic signal
oai:dash.harvard.edu:1/2662304,phylogenetic effect
oai:dash.harvard.edu:1/2664299,exaptation
oai:dash.harvard.edu:1/2664299,parallelism
oai:dash.harvard.edu:1/2664299,character evolution
oai:dash.harvard.edu:1/2664299,convergence
oai:dash.harvard.edu:1/2664299,comparative method
oai:dash.harvard.edu:1/2664286,minimalism
oai:dash.harvard.edu:1/2664286,communication
oai:dash.harvard.edu:1/2664286,phonology
oai:dash.harvard.edu:1/2664286,evolution
oai:dash.harvard.edu:1/2664286,language
oai:dash.harvard.edu:1/2664286,syntax
oai:dash.harvard.edu:1/2766652,extinction
oai:dash.harvard.edu:1/2766652,lineage-through-time plot
oai:dash.harvard.edu:1/2766652,alethinophidian snakes
